time,inserted_at,value,
1478982807.0,1478982806.0,0
1478982814.0,1478982813.0,0
1478982822.0,1478982821.0,0
1478982829.0,1478982828.0,0
1478982837.0,1478982836.0,0
1478982845.0,1478982844.0,0
1478982852.0,1478982851.0,0
1478982860.0,1478982859.0,0
1478982867.0,1478982866.0,0
1478982875.0,1478982874.0,0
1478982888.0,1478982887.0,0
1478982895.0,1478982894.0,0
1478982903.0,1478982902.0,0
1478982910.0,1478982909.0,0
1478982918.0,1478982917.0,0
